code;name;rb_id;ro_id;isValid
07313;Landau in der Pfalz;070;703;1
07314;Ludwigshafen am Rhein;070;703;1
07315;Mainz;070;702;1
07316;Neustadt an der Weinstraße;070;703;1
07317;Pirmasens;070;705;1
07318;Speyer;070;703;1
07319;Worms;070;702;1
07320;Zweibrücken;070;705;1
07331;Alzey-Worms;070;702;1
07332;Bad Dürkheim;070;703;1
07333;Donnersbergkreis;070;705;1
07334;Germersheim;070;703;1
07335;Kaiserslautern;070;705;1
07336;Kusel;070;705;1
07337;Südliche Weinstraße;070;703;1
07338;Rhein-Pfalz-Kreis;070;703;1
07339;Mainz-Bingen;070;702;1
07340;Südwestpfalz;070;705;1
08099;Baden-Württemberg unbekannter Landkreis;;;0
08111;Stuttgart;081;810;1
08115;Böblingen;081;810;1
08116;Esslingen;081;810;1
08117;Göppingen;081;810;1
08118;Ludwigsburg;081;810;1
08119;Rems-Murr-Kreis;081;810;1
08121;Heilbronn;081;803;1
08125;Heilbronn;081;803;1
08126;Hohenlohekreis;081;803;1
08127;Schwäbisch Hall;081;803;1
08128;Main-Tauber-Kreis;081;803;1
08135;Heidenheim;081;808;1
08136;Ostalbkreis;081;808;1
08199;Stuttgart unbekannter Landkreis;081;;0
08211;Baden-Baden;082;805;1
08212;Karlsruhe;082;805;1
08215;Karlsruhe;082;805;1
08216;Rastatt;082;805;1
08221;Heidelberg;082;812;1
08222;Mannheim;082;812;1
08225;Neckar-Odenwald-Kreis;082;812;1
08226;Rhein-Neckar-Kreis;082;812;1
08231;Pforzheim;082;807;1
08235;Calw;082;807;1
08236;Enzkreis;082;807;1
08237;Freudenstadt;082;807;1
08299;Karlsruhe unbekannter Landkreis;082;;0
08311;Freiburg im Breisgau;083;811;1
08315;Breisgau-Hochschwarzwald;083;811;1
08316;Emmendingen;083;811;1
08317;Ortenaukreis;083;811;1
08325;Rottweil;083;809;1
08326;Schwarzwald-Baar-Kreis;083;809;1
08327;Tuttlingen;083;809;1
08335;Konstanz;083;804;1
08336;Lörrach;083;804;1
08337;Waldshut;083;804;1
08399;Freiburg unbekannter Landkreis;083;;0
08415;Reutlingen;084;806;1
08416;Tübingen;084;806;1
08417;Zollernalbkreis;084;806;1
08421;Ulm;084;802;1
08425;Alb-Donau-Kreis;084;802;1
08426;Biberach;084;802;1
08435;Bodenseekreis;084;801;1
08436;Ravensburg;084;801;1
08437;Sigmaringen;084;801;1
08499;Tübingen unbekannter Landkreis;084;;0
09099;Bayern unbekannter Landkreis;;;0
09161;Ingolstadt;091;907;1
09162;München;091;910;1
09163;Rosenheim;091;916;1
09171;Altötting;091;916;1
09172;Berchtesgadener Land;091;916;1
09173;Bad Tölz-Wolfratshausen;091;913;1
09174;Dachau;091;910;1
09175;Ebersberg;091;910;1
09176;Eichstätt;091;907;1
09177;Erding;091;910;1
09178;Freising;091;910;1
09179;Fürstenfeldbruck;091;910;1
09180;Garmisch-Partenkirchen;091;913;1
09181;Landsberg am Lech;091;910;1
09182;Miesbach;091;913;1
09183;Mühldorf a. Inn;091;916;1
09184;München;091;910;1
09185;Neuburg-Schrobenhausen;091;907;1
09186;Pfaffenhofen a.d. Ilm;091;907;1
09187;Rosenheim;091;916;1
09188;Starnberg;091;910;1
09189;Traunstein;091;916;1
09190;Weilheim-Schongau;091;913;1
09199;Oberbayern unbekannter Landkreis;091;;0
09261;Landshut;092;908;1
09262;Passau;092;905;1
09263;Straubing;092;905;1
09271;Deggendorf;092;905;1
09272;Freyung-Grafenau;092;905;1
09273;Kelheim;092;915;1
09274;Landshut;092;908;1
09275;Passau;092;905;1
09276;Regen;092;905;1
09277;Rottal-Inn;092;908;1
09278;Straubing-Bogen;092;905;1
09279;Dingolfing-Landau;092;908;1
09299;Niederbayern unbekannter Landkreis;092;;0
09361;Amberg;093;914;1
09362;Regensburg;093;915;1
09363;Weiden i.d. OPf.;093;914;1
09371;Amberg-Sulzbach;093;914;1
09372;Cham;093;915;1
09373;Neumarkt i.d. OPf.;093;915;1
09374;Neustadt a.d. Waldnaab;093;914;1
09375;Regensburg;093;915;1
09376;Schwandorf;093;914;1
09377;Tirschenreuth;093;914;1
09399;Oberpfalz unbekannter Landkreis;093;;0
09461;Bamberg;094;912;1
09462;Bayreuth;094;911;1
09463;Coburg;094;912;1
09464;Hof;094;911;1
09471;Bamberg;094;912;1
09472;Bayreuth;094;911;1
09473;Coburg;094;912;1
09474;Forchheim;094;912;1
09475;Hof;094;911;1
09476;Kronach;094;912;1
09477;Kulmbach;094;911;1
09478;Lichtenfels;094;912;1
09479;Wunsiedel i. Fichtelgebirge;094;911;1
09499;Oberfranken unbekannter Landkeis;094;;0
09561;Ansbach;095;917;1
09562;Erlangen;095;906;1
09563;Fürth;095;906;1
09564;Nürnberg;095;906;1
09565;Schwabach;095;906;1
09571;Ansbach;095;917;1
09572;Erlangen-Höchstadt;095;906;1
09573;Fürth;095;906;1
09574;Nürnberger Land;095;906;1
09575;Neustadt a.d. Aisch-Bad Windsheim;095;917;1
09576;Roth;095;906;1
09577;Weißenburg-Gunzenhausen;095;917;1
09599;Mittelfranken unbekannter Landkreis;095;;0
09661;Aschaffenburg;096;903;1
09662;Schweinfurt;096;909;1
09663;Würzburg;096;918;1
09671;Aschaffenburg;096;903;1
09672;Bad Kissingen;096;909;1
09673;Rhön-Grabfeld;096;909;1
09674;Haßberge;096;909;1
09675;Kitzingen;096;918;1
09676;Miltenberg;096;903;1
09677;Main-Spessart;096;918;1
09678;Schweinfurt;096;909;1
09679;Würzburg;096;918;1
09699;Unterfranken unbekannter Landkreis;096;;0
09761;Augsburg;097;902;1
09762;Kaufbeuren;097;901;1
09763;Kempten (Allgäu);097;901;1
09764;Memmingen;097;904;1
09771;Aichach-Friedberg;097;902;1
09772;Augsburg;097;902;1
09773;Dillingen a.d. Donau;097;902;1
09774;Günzburg;097;904;1
09775;Neu-Ulm;097;904;1
09776;Lindau (Bodensee);097;901;1
09777;Ostallgäu;097;901;1
09778;Unterallgäu;097;904;1
09779;Donau-Ries;097;902;1
09780;Oberallgäu;097;901;1
09799;Schwaben unbekannter Landkreis;097;;0
10041;Stadtverband Saarbrücken;100;1001;1
10042;Merzig-Wadern;100;1001;1
10043;Neunkirchen;100;1001;1
10044;Saarlouis;100;1001;1
10045;Saarpfalz-Kreis;100;1001;1
10046;St. Wendel;100;1001;1
10099;Saarland unbekannter Landkreis;;1001;0
11000;Berlin;110;1101;1
11001;Berlin-West (historisch);110;1101;0
11002;Berlin-Ost (historisch);110;1101;0
11099;Berlin unbekannter Landkreis;;1101;0
12051;Brandenburg an der Havel;120;1201;1
12052;Cottbus;120;1202;1
12053;Frankfurt (Oder);120;1203;1
12054;Potsdam;120;1201;1
12060;Barnim;120;1205;1
12061;Dahme-Spreewald;120;1202;1
12062;Elbe-Elster;120;1202;1
12063;Havelland;120;1201;1
12064;Märkisch-Oderland;120;1203;1
12065;Oberhavel;120;1204;1
12066;Oberspreewald-Lausitz;120;1202;1
12067;Oder-Spree;120;1203;1
12068;Ostprignitz-Ruppin;120;1204;1
12069;Potsdam-Mittelmark;120;1201;1
12070;Prignitz;120;1204;1
12071;Spree-Neiße;120;1202;1
12072;Teltow-Fläming;120;1201;1
12073;Uckermark;120;1205;1
12099;Brandenburg unbekannter Landkreis;;;0
13001;Greifswald;130;1303;0
13002;Neubrandenburg;130;1301;0
13003;Rostock;130;1302;1
13004;Schwerin;130;1304;1
13005;Stralsund;130;1303;0
13006;Wismar;130;1304;0
13051;Bad Doberan;130;1302;0
13052;Demmin;130;1301;0
13053;Güstrow;130;1302;0
13054;Ludwigslust;130;1304;0
13055;Mecklenburg-Strelitz;130;1301;0
13056;Müritz;130;1301;0
13057;Nordvorpommern;130;1303;0
13058;Nordwestmecklenburg;130;1304;0
13059;Ostvorpommern;130;1303;0
13060;Parchim;130;1304;0
13061;Rügen;130;1303;0
13062;Uecker-Randow;130;1303;0
13071;Mecklenburgische Seenplatte;130;1301;1
13072;Rostock;130;1302;1
13073;Vorpommern-Rügen;130;1303;1
13074;Nordwestmecklenburg;130;1304;1
13075;Vorpommern-Greifswald;130;1303;1
13076;Ludwigslust-Parchim;130;1304;1
13099;Mecklenburg-Vorpommern unbekannter Landkreis;;;0
14099;Sachsen unbekannter Landkreis;;;0
14511;Chemnitz;145;1403;1
14521;Erzgebirgskreis;145;1403;1
14522;Mittelsachsen;145;1403;1
14523;Vogtlandkreis;145;1403;1
14524;Zwickau;145;1403;1
14599;Chemnitz unbekannter Landkreis;145;1403;0
14612;Dresden;146;1401;1
14625;Bautzen;146;1402;1
14626;Görlitz;146;1402;1
14627;Meißen;146;1401;1
14628;Sächsische Schweiz-Osterzgebirge;146;1401;1
14699;Dresden unbekannter Landkreis;146;;0
14713;Leipzig;147;1404;1
14729;Leipzig;147;1404;1
14730;Nordsachsen;147;1404;1
14799;Leipzig unbekannter Landkreis;147;1404;0
15001;Dessau-Roßlau;150;1502;1
15002;Halle (Saale);150;1503;1
15003;Magdeburg;150;1504;1
15081;Altmarkkreis Salzwedel;150;1501;1
15082;Anhalt-Bitterfeld;150;1502;1
15083;Börde;150;1504;1
15084;Burgenlandkreis;150;1503;1
15085;Harz;150;1504;1
15086;Jerichower Land;150;1504;1
15087;Mansfeld-Südharz;150;1503;1
15088;Saalekreis;150;1503;1
15089;Salzlandkreis;150;1504;1
15090;Stendal;150;1501;1
15091;Wittenberg;150;1502;1
15099;Sachsen-Anhalt unbekannter Landkreis;;;0
16051;Erfurt;160;1601;1
16052;Gera;160;1603;1
16053;Jena;160;1603;1
16054;Suhl;160;1604;1
16055;Weimar;160;1601;1
16056;Eisenach;160;1604;1
16061;Eichsfeld;160;1602;1
16062;Nordhausen;160;1602;1
16063;Wartburgkreis;160;1604;1
16064;Unstrut-Hainich-Kreis;160;1602;1
16065;Kyffhäuserkreis;160;1602;1
16066;Schmalkalden-Meiningen;160;1604;1
16067;Gotha;160;1601;1
16068;Sömmerda;160;1601;1
16069;Hildburghausen;160;1604;1
16070;Ilm-Kreis;160;1601;1
16071;Weimarer Land;160;1601;1
16072;Sonneberg;160;1604;1
16073;Saalfeld-Rudolstadt;160;1603;1
16074;Saale-Holzland-Kreis;160;1603;1
16075;Saale-Orla-Kreis;160;1603;1
16076;Greiz;160;1603;1
16077;Altenburger Land;160;1603;1
16099;Thüringen unbekannter Landkreis;;;0
